,UserName,RetweetCount,Timestamp,Text_clean,CriminalityRelated
0,Mossos,1,2023-06-08T17:05:44.000Z,tots els casos estan resolts  si be algunes investigacions estan obertes per determinar la participacio de mes implicats en algun fet concret quatre dels casos han passat en entorns d oci i la resta en altres espais de la ciutat  ,0
1,Mossos,1,2023-06-08T17:44:59.000Z,hem activat patrullatges preventius de paisa i uniformats s ha millorat la interlocucio i coordinacio amb la seguretat privada i s han realitzat una cinquantena de xerrades preventives sobre violencies sexuals en escoles a 1.380 alumnes d entre 12 i 18 anys de badalona,0
2,Mossos,8,2023-06-08T14:49:00.000Z, continuem amb el dispositiu de seguretat per la   lapatum  coordinats amb la policia local   ajuntamentberga  i els patumaires ens han dedicat un salt de maces moltes gracies  seguim treballant   patum,0
3,Mossos,11,2023-06-08T13:52:12.000Z,detenim cinc homes a miralcamp per tres robatoris amb forca en domicilis de la noguera es van recuperar mes de 9.000 euros  joies i aparelles electronics,1
4,Mossos,19,2023-06-08T10:51:38.000Z,dos agents que estan fent un control a montmaneu  anoia  aturen un vehicle i veuen que hi ha una dona a punt de donar a llum l acompanyen a l hospital i avisen els serveis medics perque estiguin preparats tot va anar be i dies despres els han visitat  sommossos,0
5,Mossos,22,2023-06-08T06:50:13.000Z,detectem dues persones amb actitud sospitosa carregant una furgoneta amb motxilles voluminoses a nou barris  barcelona  quan els identifiquem  veiem que porten objectes de valor i dispositius electronics i no en poden acreditar la procedencia els detenim per un delicte de furt,1
6,Mossos,13,2023-06-07T18:00:57.000Z,desallotgem sense incidents els assistents de la festa il legal d ivars de noguera amb el seguent balanc    1 detingut per atemptat i danys  identifiquem organitzadors  intervenim equips de so   7 actes per tinenca de substancies  denunciem 20 conductors per  drogues,1
7,Mossos,24,2023-06-07T15:37:45.000Z,denunciem el conductor d aquest camio per fer un us inadequat dels carrils de circulacio a l ap 7 a vilobi d onyar  recorda que cal circular pel carril de la dreta i adequar la velocitat en funcio del tipus de vehicle i via,1
8,Mossos,14,2023-06-07T14:15:51.000Z, operacio conjunta amb   gubbarcelona  per desmantellar un punt de venda de drogues a sant marti que causava moltes molesties veinals  balanc   1 detingut  1 investigat  mes de 600 g d haixix  diners en efectiu  3 bascules i estris per a la manipulacio,1
9,Mossos,2,2023-06-07T12:31:56.000Z, som al  pavconeurope2023  el congres d aviacio policial mes important d europa  on expliquem   els nostres mitjans aeris   l operativa i la tecnologia embarcada en els helicopters   coordinacio en les diferents operacions amb drons i helicopters,0
10,Mossos,8,2023-06-07T10:20:16.000Z,avui comenca   lapatum  i nosaltres tindrem un dispositiu perque la pugueu gaudir amb seguretat ens coordinarem amb la resta de cossos d emergencies d   interiorcat   patum,0
11,Mossos,4,2023-06-07T07:26:21.000Z,molta sort a tots i totes els que us presenteu a les proves de selectivitat  pau23cat   recorda que despres d estudiar a la universitat  tindras l oportunitat de venir a treballar amb nosaltres  busquem el teu talent  ensfaltestu,0
12,Mossos,5,2023-06-07T05:47:51.000Z,segueix aquestes indicacions que et deixem per a gaudir durant els grans esdeveniments  sempre garantint la teva seguretat  com sempre  la prudencia i la responsabilitat depenen de nosaltres  interiorcat,0
13,Mossos,11,2023-06-06T19:02:18.000Z,ingressen a preso dos homes per un cultiu interior de 915 plantes de marihuana a figueres el mateix dia tambe desmantellem a tossa de mar un cultiu a l aire lliure de 3.500 plantes de marihuana i en detenim el responsable,1
14,Mossos,29,2023-06-06T17:19:03.000Z,una patrulla de paisa veu com dos homes fan una transaccio de droga a terrassa els detenim i intervenim 61 embolcalls de cocaina i 1.298 euros un d ells portava un patinet sostret,1
